Race,Lap,Round
1950 Indianapolis 500,138,0
1971 Canadian Grand Prix,64,0
1973 British Grand Prix,2,0
1974 Brazilian Grand Prix,32,0
1975 Spanish Grand Prix,29,0
1975 British Grand Prix,56,0
1975 Austrian Grand Prix,29,0
1976 British Grand Prix,1,0
1976 German Grand Prix,2,0
1978 Austrian Grand Prix,7,0
1978 Italian Grand Prix,1,0
1979 Argentine Grand Prix,1,0
1979 South African Grand Prix,2,0
1980 Canadian Grand Prix,1,0
1981 Belgian Grand Prix,2,0
1981 Belgian Grand Prix,54,0
1981 French Grand Prix,58,0
1982 Detroit Grand Prix,7,0
1982 Canadian Grand Prix,1,0
1984 Monaco Grand Prix,31,0
1984 Detroit Grand Prix,1,0
1984 British Grand Prix,11,0
1984 Austrian Grand Prix,1,0
1985 Austrian Grand Prix,1,0
1986 British Grand Prix,1,0
1987 Belgian Grand Prix,2,0
1987 Austrian Grand Prix,1,0
1987 Austrian Grand Prix,1,0
1987 Portuguese Grand Prix,2,0
1987 Mexican Grand Prix,30,0
1988 Portuguese Grand Prix,1,0
1989 San Marino Grand Prix,4,0
1989 Mexican Grand Prix,2,0
1989 French Grand Prix,1,0
1989 Australian Grand Prix,2,0
1990 Monaco Grand Prix,1,0
1990 Belgian Grand Prix,1,0
1990 Belgian Grand Prix,1,0
1990 Italian Grand Prix,2,0
1990 Portuguese Grand Prix,61,0
1991 Australian Grand Prix,14,0
1992 French Grand Prix,18,0
1994 San Marino Grand Prix,7,0
1994 Italian Grand Prix,1,0
1994 Japanese Grand Prix,15,0
1995 Argentine Grand Prix,1,0
1995 Monaco Grand Prix,1,0
1995 Italian Grand Prix,1,0
1995 Portuguese Grand Prix,1,0
1996 Australian Grand Prix,1,0
1997 Brazilian Grand Prix,1,0
1997 Canadian Grand Prix,56,0
1998 Canadian Grand Prix,1,0
1998 French Grand Prix,1,0
1998 Belgian Grand Prix,1,0
1999 British Grand Prix,1,0
2000 Monaco Grand Prix,1,0
2001 German Grand Prix,2,0
2001 Belgian Grand Prix,5,0
2003 Brazilian Grand Prix,56,0
2007 European Grand Prix,5,0
2009 Malaysian Grand Prix,33,0
2010 Korean Grand Prix,3,0
2011 Monaco Grand Prix,72,0
2011 Canadian Grand Prix,25,0
2012 Malaysian Grand Prix,9,0
2013 Monaco Grand Prix,46,0
2014 British Grand Prix,1,0
2014 Japanese Grand Prix,2,0
2014 Japanese Grand Prix,46,0
2016 Australian Grand Prix,18,0
2016 Belgian Grand Prix,9,0
2016 Brazilian Grand Prix,21,0
2016 Brazilian Grand Prix,28,0
2017 Azerbaijan Grand Prix,22,0
2020 Italian Grand Prix,27,0
2020 Tuscan Grand Prix,9,0
2020 Tuscan Grand Prix,46,0
2020 Bahrain Grand Prix,1,0
2021 Emilia Romagna Grand Prix,33,2
2021 Azerbaijan Grand Prix,48,6
2021 British Grand Prix,2,10
2021 Hungarian Grand Prix,2,11
2021 Belgian Grand Prix,1,12
2021 Saudi Arabian Grand Prix,13,21
2021 Saudi Arabian Grand Prix,15,21
